"LOCUSTAG","GENE","EXP_70_TestInt","EXP_70_CntlInt","EXP_71_TestInt","EXP_71_CntlInt","EXP_72_TestInt","EXP_72_CntlInt","EXP_73_TestInt","EXP_73_CntlInt","EXP_74_TestInt","EXP_74_CntlInt","EXP_75_TestInt","EXP_75_CntlInt","EXP_76_TestInt","EXP_76_CntlInt","EXP_77_TestInt","EXP_77_CntlInt","EXP_78_TestInt","EXP_78_CntlInt","EXP_79_TestInt","EXP_79_CntlInt","EXP_80_TestInt","EXP_80_CntlInt","mean_exp","stdev_exp","RSD"
"b3505","insH",35783.329,4435.866,6514.777,37393.503,9014.302,70239.746,7956.951,51489.834,1556.943,16197.685,2746.731,18286.61,2676.255,14684.434,1239.034,13335.645,8608.225,7283.923,5879.591,5421.589,15003.381,11167.356,15768.8959090909,16264.6345876956,1.03143775451767
"b3506","slp",2323.365,1861.178,3244.994,3676.201,5992.74,7077.382,6150.551,5863.312,1063.792,1256.33,1735.938,1720.366,1060.479,749.352,1092.562,857.801,949.813,820.58,439.586,403.381,6133.522,6354.223,2764.884,1971.52915074073,0.713060349273506
"b3507","dctR",2653.167,1675.644,2289.791,2979.8,4608.24,6409.517,5548.954,5697.053,1050.966,1520.679,2106.307,2212.559,1054.614,917.459,926.727,662.603,916.188,817.174,435.491,393.849,5367.371,5091.941,2515.277,1636.99797137226,0.650822144587759
"b3508","yhiD",6714.201,2481.506,3369.923,5847.078,6487.739,14791.697,8023.411,13475.022,1371.938,1729.333,2744.828,2923.539,2255.92,3096.666,1658.887,2428.753,4097.42,3906.064,2192.711,1610.731,5701.003,5483.951,4654.19640909091,3111.24322270839,0.66848129069742
"b3509","hdeB",1466.844,1599.605,2310.517,2076.589,3548.516,2938.777,3118.205,2939.795,586.912,808.442,1464.305,2014.212,1115.519,694.822,840.148,625.775,1446.149,1524.373,768.552,723.074,7795.901,5118.481,2069.3415,1533.03896060105,0.74083420286166
"b3510","hdeA",1628.13,2803.474,4541.647,2413.649,8460.34,3400.427,5438.526,2772.554,920.644,783.343,1333.036,1332.112,1050.602,437.458,1033.985,474.413,3830.986,3277.772,1283.173,1370.513,7478.328,5718.813,2808.36022727273,1945.37284004539,0.692707730708249
"b3511","hdeD",2514.403,1438.152,2260.616,3564.54,2391.168,4477.569,3178.213,4234.571,303.279,483.543,1637.183,2561.903,646.497,768.286,665.825,940.315,444.026,505.476,479.538,477.878,5887.747,5714.85,2071.61718181818,1565.20456352211,0.755547201123515
"b3512","gadE",1248.517,654.387,1505.472,2665.148,2855.445,6702.576,3516.684,5841.001,914.602,1331.651,1641.16,2116.552,1373.842,1140.934,1158.466,947.512,500.248,490.973,332.106,316.158,6021.887,5337.691,2209.68236363636,1809.06597123665,0.81869955655507
"b3513","mdtE",4451.266,1717.388,2246.557,3759.956,4000.598,10426.736,4133.075,7766.237,1089.537,1703.752,2273.186,2823.952,799.248,1330.267,826.574,1105.896,1196.413,1008.154,508.992,542.884,4906.573,5076.083,2895.15109090909,2249.9407468225,0.777141045898234
"b3514","mdtF",3307.442,1890.432,2502.232,4847.415,3848.285,7517.306,3926.423,5984.438,1205.988,2514.403,2646.739,2821.018,1216.061,1408.555,1140.934,1537.105,403.801,405.765,388.292,395.354,4243.385,4076.174,2646.70668181818,1653.42477504109,0.624710243261733
"b3515","gadW",2516.146,2491.847,3191.458,2661.456,3696.643,5712.87,4431.256,5122.03,1371.463,1059.01,2432.122,1833.011,1835.554,694.581,1967.98,1082.011,494.902,498.345,520.408,551.991,1025.421,1122.111,2105.11890909091,1255.90896193321,0.596597634703482
"b3516","gadX",3277.772,2765.836,2991.182,3014.076,5346.948,8536.92,6034.423,7326.965,1606.271,1316.507,2899.322,2183.611,3497.237,1636.049,2472.063,1481.148,2986.003,3031.886,1762.613,1268.141,1081.262,1239.463,3079.80445454545,1619.23780433577,0.525759939708494
"b3517","gadA",10145.132,1669.847,1144.499,3726.227,4664.478,18413.803,4113.07,20709.427,1073.421,2595.866,2226.404,4971.619,882.529,2340.336,845.113,2633.928,1081.262,1203.9,529.872,600.7,10786.955,7798.603,4734.40868181818,5249.54564651973,1.10880703363862
"b3518","yhjA",8358.336,4104.526,3062.512,3868.343,9455.906,5788.605,3180.417,4048.018,1597.389,1434.667,2635.754,2916.455,880.696,1417.861,827.721,1704.343,700.869,823.143,438.824,608.241,2302.523,3306.296,2884.61113636364,2143.44787307236,0.743063023660932
"b3519","treF",2235.683,1702.572,3010.944,3294.857,4570.068,5300.821,3259.647,4677.429,1496.109,1531.787,2730.596,3456.27,654.841,659.395,737.245,820.296,751.172,796.207,469.506,543.826,3741.757,4746.012,2326.68363636364,1348.88343456285,0.579745098766849
"b3520","yhjB",2611.205,1762.613,2789.904,3091.304,3935.96,6934.134,3680.025,5659.661,1072.677,1335.348,2275.551,2415.322,767.222,988.091,860.183,1129.525,500.422,482.706,434.888,469.669,3749.545,3804.523,2306.83990909091,1528.4933979699,0.662591882490992
"b3521","yhjC",2768.713,2357.431,2994.294,4113.07,2286.619,3653.339,3008.857,3829.658,1057.909,1112.045,1920.146,2597.666,417.462,515.74,664.442,785.79,606.767,628.165,587.726,668.6,4901.474,6026.063,2159.18072727273,1380.75687029203,0.63948184274323
"b3522","yhjD",2221.78,2279.497,2968.462,4391.506,4468.268,3946.888,3664.752,4440.48,1247.22,1845.121,2122.428,2771.594,507.583,779.551,488.597,731.899,652.123,597.585,586.302,601.533,3977.097,4271.42,2252.80390909091,1250.80676512949,0.555222210012161
"b3523","yhjE",1665.801,910.175,2547.736,4448.182,3927.784,10693.897,4350.604,7048.009,1528.075,1691.984,3094.52,3431.206,711.392,1117.067,803.136,1397.372,1062.318,908.284,423.289,412,6182.609,5502.99,2902.65590909091,2343.99923745391,0.80753603281487
"b3524","yhjG",3315.475,2083.798,2263.752,4555.836,4259.593,6905.356,4284.764,6503.497,1495.073,1672.743,2502.232,3220.346,520.408,824,582.858,933.82,1229.197,1032.911,571.655,519.507,4608.24,4135.941,2637.31827272727,1636.5049837548,0.620518577783362
"b3525","yhjH",2210.259,1239.893,1817.198,3045.577,3647.014,6103.834,3756.049,7136.495,1248.517,1618.005,2325.782,2783.144,453.042,694.822,494.045,795.38,524.391,564.762,357.054,464.006,3759.956,3767.783,2218.50036363636,1639.89413541297,0.739190383870391
"b3526","kdgK",1406.604,2479.786,3510.595,2522.258,6489.988,4124.49,4896.381,3687.686,289.817,363.8,1361.99,1803.395,445.104,443.257,463.845,567.509,1479.609,1963.212,593.046,723.074,2245,2377.946,2010.836,1341.15447750618,0.666963629806795
"b3527","yhjJ",3259.647,2808.336,4071.938,3887.158,7688.572,12620.662,6946.16,12060.482,1831.741,2046.581,3199.21,3616.805,746.501,774.972,869.475,861.078,1477.047,1540.839,809.563,814.065,3757.351,3360.593,3593.12618181818,2999.32629761367,0.834740041357512
"b3528","dctA",2661.456,4987.15,7006.606,4802.267,8620.166,6610.3,7291.5,5322.912,1673.903,1826.67,3084.883,4290.708,804.25,1305.602,762.186,1028.268,1075.655,2312.119,620.807,1137.775,4214.074,3470.674,3404.99686363636,1901.40029668348,0.558414698406766
"b3529","yhjK",2382.896,2374.651,2818.086,4658.016,4981.968,5358.078,4301.13,5269.681,1322.452,2172.288,2363.157,3639.438,706.722,1355.867,694.341,1054.614,727.095,846.872,529.321,498.69,3803.205,3975.719,2537.92213636364,1364.93612054804,0.537816389632716
"b3530","bcsC",4879.44,2206.433,2743.877,7804.01,6494.488,17718.883,5766.579,16780.522,774.703,1262.878,1963.212,2934.705,498.517,1014.463,678.169,1682.627,976.855,907.655,562.224,339.437,3554.67,3692.802,3874.41586363636,4474.98385396752,1.15500865458657
