ACCESSION	GSE1730
TITLE	mRNA abundance from wild type

EXP	NAME	STDDEV	SAMPLES	TIMEPOINT	CHANNELS	TEST COL	TEST BKGD	CNTL COL	CNTL BKGD	LOG	NORM	RMA DATA
70	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant	0.929	GSM30231,GSM30232,GSM30233,GSM30234		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
71	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.875	GSM30235,GSM30236,GSM30237,GSM30238		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
72	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant	1.135	GSM30239,GSM30240,GSM30241,GSM30242		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
73	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.969	GSM30243,GSM30244,GSM30245,GSM30246		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
74	mRNA abundance (wt in LB, norfloxacin for 10 min)  / Genomic DNA from dnaC(ts) mutant	0.697	GSM30247,GSM30248,GSM30249,GSM30250		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
75	mRNA abundance (wt in LB, norfloxacin for 10 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.631	GSM30251,GSM30252,GSM30253,GSM30254		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
76	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant	0.904	GSM30255,GSM30256,GSM30257,GSM30258		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
77	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.811	GSM30259,GSM30260,GSM30261,GSM30262		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
78	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB)	0.285	GSM30330,GSM30331,GSM30332,GSM30333		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
79	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB) (dye swap)	0.345	GSM30334,GSM30335,GSM30336,GSM30337		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
80	mRNA abundance (wt, M9) / Genomic DNA from dnaC(ts) mutant	0.300	GSM30338,GSM30339,GSM30340,GSM30341		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	

LABELS
LOCUSTAG	Locus_Tag
GENE	Name
EXP_num_M	Ratio of Test/Control
EXP_num_A	Average=0.5*(Test+Control)
EXP_num_TestInt	Test Intensity
EXP_num_CntlInt	Control Intensity

LOCUSTAG	GENE	EXP_70_M	EXP_70_A	EXP_70_TestInt	EXP_70_CntlInt	EXP_71_M	EXP_71_A	EXP_71_TestInt	EXP_71_CntlInt	EXP_72_M	EXP_72_A	EXP_72_TestInt	EXP_72_CntlInt	EXP_73_M	EXP_73_A	EXP_73_TestInt	EXP_73_CntlInt	EXP_74_M	EXP_74_A	EXP_74_TestInt	EXP_74_CntlInt	EXP_75_M	EXP_75_A	EXP_75_TestInt	EXP_75_CntlInt	EXP_76_M	EXP_76_A	EXP_76_TestInt	EXP_76_CntlInt	EXP_77_M	EXP_77_A	EXP_77_TestInt	EXP_77_CntlInt	EXP_78_M	EXP_78_A	EXP_78_TestInt	EXP_78_CntlInt	EXP_79_M	EXP_79_A	EXP_79_TestInt	EXP_79_CntlInt	EXP_80_M	EXP_80_A	EXP_80_TestInt	EXP_80_CntlInt
b1546	tfaQ	1.640	11.511	5152.297	1653.148	-1.501	11.726	2013.514	5699.027	-1.261	13.091	5636.172	13507.752	-1.749	13.281	5429.110	18248.623	-1.411	10.552	920.644	2448.190	-1.272	11.710	2155.789	5206.146	-0.715	10.360	1025.776	1683.794	-0.929	10.429	999.110	1902.262	0.071	9.388	686.683	653.707	-0.185	9.069	503.728	572.646	0.310	11.524	3278.909	2644.905
b1547	stfQ	1.130	10.350	1930.823	882.223	-0.875	10.863	1375.271	2522.258	-0.766	12.054	3260.777	5545.109	-0.499	11.912	3241.622	4581.169	-0.616	9.995	824.285	1263.316	-0.485	10.895	1609.615	2252.794	-0.082	9.108	536.338	567.706	-0.223	9.155	527.673	615.878	-0.061	8.291	306.661	319.905	-0.106	7.751	207.649	223.480	-0.488	11.473	2400.302	3366.421
b1548	nohQ	1.045	11.245	3486.346	1689.640	-0.923	11.774	2543.325	4822.281	-1.892	12.923	4031.218	14961.840	-1.159	12.731	4549.524	10159.206	-0.615	10.742	1383.877	2119.488	-0.481	11.635	2692.070	3757.351	-0.747	9.685	635.391	1066.376	-0.772	9.957	760.603	1298.833	0.128	10.100	1147.279	1049.874	-0.033	9.175	571.457	584.679	-0.277	12.301	4584.345	5554.726
b1549	ydfO	-0.363	11.565	2671.622	3435.966	0.427	11.840	4250.745	3161.733	-0.032	12.587	6084.825	6221.298	-0.064	12.773	6845.784	7156.309	0.506	10.529	1760.781	1239.893	0.410	11.200	2711.734	2040.914	0.372	9.834	1038.295	802.301	0.396	9.738	979.567	744.434	-0.395	11.674	2849.514	3746.947	-0.506	10.357	1100.543	1562.889	-0.140	10.145	1078.642	1188.561
b1550	gnsB	-1.301	10.066	682.886	1682.627	0.161	11.391	2839.655	2539.801	0.376	10.728	1932.162	1488.868	0.544	10.627	1909.528	1309.681	0.328	8.286	349.706	278.590	0.246	10.383	1454.190	1226.218	2.380	8.962	1137.775	218.577	1.537	9.199	1001.190	345.011	0.081	9.929	1002.579	947.840	0.052	10.043	1074.165	1036.138	-0.008	10.462	1406.604	1414.425
b1551	ynfN	-0.273	10.934	1779.801	2150.565	0.280	11.410	2998.448	2469.494	1.344	12.736	10869.515	4281.795	0.940	12.197	6503.497	3389.837	-0.039	9.631	782.258	803.693	-0.058	11.026	2043.746	2127.583	0.467	9.538	874.006	632.315	0.673	9.482	902.949	566.330	-0.001	10.114	1107.814	1108.582	0.052	9.221	607.609	586.099	0.269	10.088	1194.756	991.521
b1552	cspI	0.166	10.323	1356.807	1209.336	-0.416	11.034	1815.310	2422.028	-0.532	11.595	2572.580	3719.776	-0.301	11.562	2723.979	3355.937	-0.337	9.788	786.607	993.585	-0.274	10.777	1595.729	1929.485	0.295	9.162	634.510	517.172	0.211	9.069	577.829	499.209	-0.123	9.066	513.600	559.308	-0.132	8.623	376.629	412.714	0.056	10.101	1119.780	1077.147
b1553	rzpQ	0.584	10.708	2048.000	1366.245	-0.601	11.447	2266.892	3438.348	0.058	12.541	6080.609	5841.001	0.074	12.268	5060.275	4807.263	-0.373	9.839	804.808	1042.260	-0.254	10.848	1687.884	2012.817	-0.320	9.532	662.603	827.147	-0.133	9.492	687.635	754.041	0.379	10.508	1660.613	1276.962	-0.076	8.822	440.806	464.650	0.390	10.246	1390.126	1060.846
b1554	arrQ	0.606	10.732	2098.292	1378.611	-0.547	11.080	1790.938	2616.640	-1.158	11.692	2214.860	4942.413	-0.614	11.852	2988.074	4573.237	-0.376	9.933	858.099	1113.588	-0.520	11.027	1742.569	2498.766	-0.352	9.214	525.665	670.921	-0.338	9.326	570.863	721.572	0.163	9.577	808.162	721.822	-0.103	8.495	348.134	373.898	0.484	10.269	1459.239	1043.345
b1555	ydfR	0.389	10.819	2067.254	1578.677	-0.375	11.375	2332.239	3024.540	0.354	12.387	6055.373	4737.795	0.291	12.286	5524.009	4514.968	-0.024	9.655	799.525	812.937	-0.098	10.679	1584.707	1696.094	0.235	9.353	709.422	602.785	0.178	9.349	693.619	613.109	0.123	10.378	1388.681	1275.193	0.081	9.656	829.731	784.430	0.100	11.075	2233.360	2083.798
b1556	essQ	0.028	10.795	1794.045	1759.561	-0.041	11.112	2182.098	2245.000	0.193	12.229	5132.692	4490.001	-0.084	12.091	4237.507	4491.557	0.068	10.451	1433.176	1367.192	-0.018	11.050	2107.037	2133.491	0.191	9.479	762.451	667.905	0.059	9.479	728.356	699.170	0.100	9.939	1016.222	948.169	-0.200	8.791	413.287	474.742	-0.165	12.016	3911.483	4385.422
b1557	cspB	-0.183	11.014	1940.886	2203.376	0.516	11.663	3877.739	2711.734	0.014	11.376	2670.696	2644.905	-0.066	11.105	2152.802	2253.575	0.227	9.715	909.229	776.854	0.075	10.920	1988.548	1887.813	0.502	9.598	922.241	651.219	0.335	10.021	1166.928	925.122	-0.164	9.297	594.280	665.825	-0.335	8.563	336.742	424.759	-0.272	11.138	2050.841	2476.351
b1558	cspF	-0.040	11.340	2556.581	2628.456	-0.440	11.730	2916.455	3956.475	0.367	12.310	5766.579	4471.366	0.681	12.370	6702.576	4180.617	0.038	10.562	1531.787	1491.967	-0.138	11.297	2398.638	2639.410	0.593	9.944	1209.756	802.023	0.295	10.017	1147.676	935.439	-0.118	10.281	1194.342	1296.135	-0.183	9.271	579.836	658.254	0.118	10.031	1089.915	1004.318
b1559	quuQ	0.754	11.371	3439.540	2039.500	-0.791	11.569	2309.716	3996.441	-0.457	12.783	6015.630	8257.561	-0.690	12.790	5575.943	8995.576	0.102	10.557	1560.724	1454.190	-0.270	11.421	2497.034	3010.944	-0.126	10.200	1126.007	1228.771	-0.055	10.145	1110.890	1154.058	0.333	10.439	1558.022	1236.889	-0.266	9.381	608.031	731.138	0.469	10.187	1371.463	990.834
b1560	ydfU	1.010	10.816	2558.354	1270.341	-1.043	11.437	1931.492	3979.855	-0.878	12.228	3538.691	6503.497	-0.939	12.042	3045.577	5838.977	-0.996	10.472	1005.711	2005.853	-0.599	11.396	2189.673	3316.625	-1.010	9.871	659.853	1328.884	-0.653	9.656	643.368	1011.654	-0.092	8.990	492.507	524.937	-0.190	8.537	347.772	396.726	0.349	10.058	1203.066	944.561
b1561	rem	0.536	11.012	2486.671	1715.008	-0.499	11.049	1782.270	2518.764	0.074	12.428	5653.780	5371.093	0.119	12.386	5577.875	5136.251	-0.176	10.285	1173.824	1326.124	0.096	11.269	2551.270	2387.028	0.013	9.370	664.673	658.710	-0.209	9.325	596.550	689.545	0.278	10.034	1154.458	952.120	-0.189	8.827	425.348	484.885	0.013	9.991	1022.227	1013.057
b1562	hokD	-0.133	11.348	2489.258	2729.650	-0.167	10.673	1540.839	1729.932	1.136	12.817	10697.603	4867.617	0.995	12.913	10888.367	5463.084	0.094	9.471	733.168	686.921	-0.256	10.650	1470.407	1755.906	-0.145	10.770	1660.613	1836.190	0.584	10.009	1261.566	841.605	-0.134	10.275	1182.808	1297.933	-0.370	8.509	320.460	414.147	-0.493	10.648	1352.582	1903.581
b1563	relE	-0.006	10.669	1624.748	1631.519	-0.204	11.314	2372.184	2732.489	0.171	12.168	4882.824	4337.055	-0.015	12.130	4458.986	4505.589	0.032	10.517	1481.661	1449.159	0.069	11.261	2513.531	2396.146	0.589	9.867	1145.292	761.394	0.456	9.896	1115.906	813.501	0.226	9.946	1066.745	912.070	-0.392	9.682	717.085	940.967	0.301	11.093	2424.548	1967.980
b1564	relB	-0.646	10.906	1533.912	2400.302	0.083	11.252	2510.049	2369.719	0.441	12.405	6319.085	4654.789	0.081	12.192	4812.264	4549.524	0.480	10.589	1819.088	1304.246	0.247	11.515	3188.142	2686.477	0.963	9.838	1277.848	655.522	1.048	9.808	1288.967	623.394	0.050	9.553	764.303	738.268	-0.253	9.333	590.789	704.033	-0.480	12.371	4485.335	6255.892
b1565	ydfV	0.160	11.102	2323.365	2079.470	-0.258	11.491	2632.103	3147.520	0.225	12.471	6137.775	5251.450	0.092	12.746	7092.114	6653.972	0.013	10.020	1042.983	1033.627	-0.227	11.157	2110.691	2470.350	0.094	9.140	582.858	546.092	0.193	9.478	762.451	666.980	-0.091	8.803	432.783	460.961	-0.157	8.804	423.289	471.953	0.220	10.115	1196.828	1027.555
b1566	flxA	0.419	10.837	2115.085	1581.963	-0.480	11.277	2101.203	2930.640	-0.112	12.067	4127.350	4460.532	-0.084	12.094	4246.328	4500.907	-0.101	10.620	1519.625	1629.823	-0.100	11.128	2161.774	2316.932	0.353	9.927	1100.162	861.376	0.196	9.745	918.413	801.745	-0.368	10.095	962.738	1242.474	-0.535	9.541	618.873	896.711	0.234	10.165	1245.060	1058.643
b1567	intK	-0.128	11.317	2440.566	2666.996	-0.126	11.632	3038.198	3315.475	1.236	13.013	12686.443	5386.006	0.108	12.853	7680.582	7126.609	0.300	9.593	856.910	696.027	-0.064	10.866	1825.404	1908.204	-0.081	9.473	690.980	730.885	0.152	9.339	682.649	614.385	0.089	10.275	1277.848	1201.399	-0.252	9.157	523.121	622.962	0.332	11.290	2809.310	2231.812
b1568	ydfX	0.546	10.114	1339.055	917.141	-0.390	10.753	1507.560	1975.497	-0.852	11.596	2304.120	4158.940	-0.448	11.502	2483.226	3387.488	-1.013	9.422	482.873	974.488	-0.800	11.143	1713.820	2983.934	-0.647	9.195	468.368	733.422	-0.516	9.056	445.104	636.493	-0.058	8.515	358.542	373.250	-0.047	8.356	322.354	333.028	-0.074	11.737	3326.986	3502.089
b1569	dicC	-0.220	10.434	1281.840	1493.002	0.485	11.296	2974.641	2125.373	0.265	11.733	3731.397	3105.264	-0.166	11.469	2676.255	3002.607	0.031	9.634	803.136	786.062	0.161	11.244	2564.568	2293.762	-0.040	8.826	447.579	460.163	-0.227	9.209	547.039	640.254	-0.030	8.573	376.890	384.809	-0.057	8.194	287.118	298.689	-0.219	10.984	1877.374	2185.125
b1570	dicA	-0.917	11.605	2266.892	4280.311	1.144	11.685	4894.684	2214.860	0.510	12.323	6114.420	4293.683	0.456	12.094	5120.255	3732.690	0.609	10.361	1624.185	1064.898	0.432	11.189	2711.734	2010.028	0.352	9.854	1045.516	819.159	0.352	9.776	990.491	776.047	-0.402	11.331	2241.114	2961.269	-0.583	10.351	1067.115	1598.497	0.049	12.071	4376.312	4230.170
b1571	ydfA	0.019	10.615	1578.677	1558.022	-0.191	11.291	2345.208	2677.183	0.236	11.696	3600.546	3057.210	-0.364	11.227	2112.887	2719.263	-0.047	9.863	916.188	946.527	-0.082	10.493	1400.766	1482.689	-0.074	8.698	404.782	426.086	0.052	8.860	473.100	456.351	0.108	8.992	528.588	490.463	-0.143	8.544	355.203	392.215	0.208	9.978	1083.888	938.361
b1572	ydfB	0.010	10.522	1475.512	1465.320	-0.174	10.812	1692.570	1909.528	-1.364	11.033	1306.055	3361.758	-0.597	10.984	1646.857	2490.984	-0.248	8.872	429.943	510.582	-0.324	10.438	1239.893	1552.094	-0.269	8.552	341.916	412.000	-0.087	9.223	579.836	615.878	-0.060	8.862	455.719	475.071	-0.145	8.795	422.410	467.072	-0.082	10.025	1012.706	1071.934
b1573	ydfC	-0.084	9.594	750.652	795.655	-0.310	10.628	1421.305	1762.002	0.374	12.074	4908.274	3787.421	0.529	12.023	4999.264	3464.665	-0.030	9.806	885.900	904.515	-0.123	10.792	1699.035	1850.244	0.047	8.864	473.592	458.412	0.012	8.876	471.790	467.882	0.033	8.907	485.558	474.578	-0.122	8.607	373.768	406.750	-0.043	9.855	912.386	939.989
b1574	dicF																																												
b1575	dicB	-0.400	11.317	2221.010	2930.640	0.453	11.277	2903.344	2120.958	-0.856	11.131	1666.956	3017.211	-0.387	10.980	1766.282	2309.716	0.006	9.256	612.684	610.141	0.389	10.607	1784.742	1362.934	-0.164	8.652	380.038	425.791	0.186	9.284	664.903	584.476	-0.043	8.345	320.349	330.041	0.051	8.324	326.174	314.845	-0.350	11.372	2347.647	2992.219
b1576	ydfD	0.011	10.235	1209.756	1200.567	-0.302	11.508	2622.996	3233.767	-0.962	11.255	1751.044	3411.050	-0.279	11.382	2422.868	2939.795	-0.164	9.358	619.947	694.581	-0.278	10.740	1553.170	1883.238	0.063	8.893	485.895	465.133	-0.276	8.763	394.806	478.044	-0.044	8.915	475.401	490.123	-0.154	8.453	332.221	369.646	0.081	10.147	1166.120	1102.452
b1577	ydfE	1.018	11.499	4118.776	2033.853	-0.841	11.953	2962.296	5306.335	-1.073	12.800	4916.787	10343.953	-0.810	12.756	5224.220	9159.163	-0.354	10.398	1193.514	1525.430	-0.302	11.377	2395.316	2953.070	-0.545	10.176	957.746	1397.372	-0.203	9.936	913.018	1050.966	-0.054	10.239	1186.092	1231.329	-0.068	9.068	524.210	549.509	0.618	10.271	1530.726	997.380
b1578	insD	1.392	11.735	5522.095	2104.118	-1.299	11.973	2562.791	6305.959	-1.045	12.403	3770.395	7779.706	-0.921	12.613	4552.679	8620.166	-1.799	11.055	1140.539	3968.835	-1.566	11.963	2320.146	6869.551	-0.491	11.053	1792.180	2518.764	-1.119	11.043	1431.687	3109.571	-0.371	11.448	2456.690	3177.111	-0.272	10.308	1153.658	1393.020	1.208	10.698	2524.882	1092.941
b1579	intQ	1.078	10.956	2886.289	1367.192	-1.127	11.633	2149.075	4693.668	-0.579	12.595	5062.029	7561.727	-0.695	12.593	4855.823	7861.016	-0.834	9.404	507.407	904.515	-0.521	10.733	1420.812	2038.794	-0.318	9.477	638.260	795.655	-0.480	9.355	554.483	773.362	-0.110	9.128	538.574	581.244	0.054	8.739	435.340	419.347	-0.309	12.229	4313.072	5343.243
b1580	rspB	0.862	11.230	3238.253	1781.652	-1.161	11.947	2640.325	5904.094	-0.888	12.658	4750.949	8792.148	-1.120	12.809	4867.617	10579.619	-0.439	10.675	1404.168	1903.581	-0.464	11.657	2749.588	3792.675	-0.670	9.490	570.072	907.026	-0.756	9.767	670.457	1132.268	0.287	10.291	1383.877	1134.232	-0.127	9.610	747.796	816.608	-0.022	12.148	4504.028	4573.237
b1581	rspA	0.672	11.399	3408.686	2139.414	-1.262	12.302	3260.777	7820.255	-0.363	12.583	5410.327	6958.208	-1.025	12.465	3963.337	8065.230	-1.079	10.401	930.266	1965.254	-0.470	11.516	2488.395	3446.700	-1.106	9.828	619.517	1333.498	-1.150	9.911	646.273	1434.170	-0.096	9.208	572.051	611.412	-0.101	8.710	404.361	433.684	-0.140	12.182	4426.651	4877.750
b1582	ynfA	0.580	11.525	3603.043	2410.305	-0.157	11.884	3579.395	3990.904	-0.001	13.038	8407.726	8413.556	0.087	13.078	8911.793	8390.261	0.338	10.822	2035.264	1610.173	0.291	11.377	2941.834	2404.465	-0.029	10.577	1512.270	1542.976	0.208	10.153	1223.671	1059.377	0.195	11.233	2575.256	2249.674	-0.068	10.363	1286.290	1348.369	0.044	11.022	2111.423	2048.000
b1583	ynfB	-1.619	11.841	2093.208	6429.541	0.943	12.321	7094.572	3690.243	1.360	12.933	12529.142	4881.132	1.642	12.904	13540.562	4338.558	0.407	10.895	2192.711	1653.721	0.489	11.826	4301.130	3064.636	0.784	10.454	1840.650	1068.966	0.901	9.986	1385.797	742.116	-0.555	12.741	5647.905	8297.724	-0.283	11.355	2374.651	2889.291	-0.386	12.691	5784.594	7559.106
b1584	speG	-0.312	12.055	3819.055	4741.080	0.940	11.942	5449.847	2840.639	0.715	12.858	9511.782	5794.627	1.270	12.801	11082.533	4595.480	0.395	10.587	1763.835	1341.378	0.462	11.536	3485.138	2530.137	0.812	9.707	1107.430	630.783	0.421	9.827	1050.966	784.973	0.044	10.480	1450.164	1406.604	-0.179	10.090	1024.355	1159.671	0.170	10.291	1328.884	1181.169
b1585	ynfC	-0.404	11.107	1917.486	2537.162	0.189	11.296	2684.616	2354.981	0.293	12.452	6201.923	5062.029	0.183	12.325	5466.872	4815.601	-0.105	10.243	1168.547	1256.766	-0.081	11.338	2517.018	2662.379	0.251	9.367	720.323	605.297	0.056	9.372	675.588	649.867	-0.259	10.083	991.521	1186.503	-0.424	9.170	497.309	667.211	0.233	11.106	2389.512	2033.149
b1586	ynfD	-0.910	11.233	1755.906	3299.427	0.389	11.633	3634.396	2775.438	0.236	11.751	3740.460	3176.011	-0.232	11.389	2474.635	2906.365	0.554	10.477	1726.937	1176.267	0.505	11.244	2889.291	2035.969	0.425	9.176	670.224	499.209	0.207	9.257	657.342	569.479	0.047	9.906	975.163	943.906	-0.052	9.827	892.062	924.802	0.008	10.213	1190.210	1183.628
b1587	ynfE																																												
b1588	ynfF																																												
b1589	ynfG	0.718	11.342	3329.293	2024.009	-0.370	11.449	2459.245	3178.213	-0.530	12.569	5056.768	7301.616	-0.459	12.609	5328.449	7324.426	-0.243	10.511	1341.378	1587.455	-0.022	11.464	2803.474	2846.553	-0.341	8.996	453.670	574.634	-0.160	9.537	702.814	785.246	-0.164	10.880	1780.418	1994.761	-0.669	9.922	769.352	1223.247	0.584	10.220	1460.250	974.150
b1590	ynfH	-0.124	11.571	2914.434	3176.011	1.098	11.725	4952.702	2313.722	1.360	10.708	2679.968	1044.068	0.120	10.638	1661.188	1528.605	1.059	10.164	1656.015	794.829	0.517	10.826	2171.536	1517.520	0.038	10.412	1380.524	1344.636	0.249	10.175	1260.255	1060.479	0.104	11.318	2646.739	2462.657	-0.451	9.749	735.968	1006.060	0.024	12.690	6663.202	6553.273
b1591	dmsD	0.174	10.666	1725.741	1529.665	-0.345	11.361	2333.856	2964.350	-0.030	11.723	3345.486	3415.782	-0.200	11.822	3378.109	3880.428	0.031	10.270	1248.085	1221.552	-0.235	11.121	2052.975	2416.160	-0.155	9.089	516.098	574.634	-0.017	9.323	636.713	644.260	-0.486	9.744	724.579	1014.814	-0.488	9.462	595.517	835.213	0.143	10.017	1088.782	986.038
b1592	clcB	0.392	10.847	2109.960	1607.942	-0.591	10.653	1311.953	1976.182	0.480	11.835	4314.567	3093.448	0.034	11.652	3256.260	3180.417	-0.151	9.146	537.641	596.964	-0.192	10.229	1122.889	1282.728	-0.136	9.559	719.574	790.707	0.066	8.871	479.039	457.618	-0.128	9.084	519.147	567.313	0.576	8.959	607.609	407.597	-0.421	11.761	2999.487	4015.879
b1593	ynfK	2.240	12.633	13805.926	2922.526	-0.215	11.739	3172.710	3682.577	-0.802	12.885	5728.731	9988.138	-0.951	12.991	5855.189	11319.323	-0.348	10.671	1445.146	1839.375	-0.264	11.335	2357.431	2830.812	0.030	9.371	669.064	655.295	0.091	9.607	804.808	755.611	-0.009	11.423	2737.228	2754.357	-0.240	11.215	2187.398	2583.301	0.324	10.128	1251.984	1000.150
b1594	dgsA	-0.038	11.901	3774.317	3875.052	-0.071	12.045	4123.061	4331.047	-1.110	12.954	5400.959	11657.736	-1.022	12.916	5423.468	11013.611	-0.140	10.280	1184.449	1305.150	-0.208	11.466	2632.103	3040.304	-0.395	9.708	729.366	959.075	-0.731	9.722	655.522	1088.028	-0.513	11.425	2301.725	3284.596	-0.463	10.445	1187.326	1636.616	-0.029	12.098	4340.062	4428.186
b1595	ynfL	0.242	10.951	2152.802	1820.350	-0.427	11.375	2290.584	3079.542	-0.828	11.757	2597.666	4611.435	-0.515	11.750	2881.292	4117.349	-0.702	8.811	352.139	572.845	-0.570	10.854	1519.099	2255.138	-0.790	9.551	570.467	986.380	-0.366	9.498	636.934	820.864	-0.093	9.020	502.681	536.153	-0.081	8.658	392.759	415.441	-0.185	11.717	3157.353	3589.333
b1596	ynfM	0.648	10.977	2523.132	1610.173	-0.724	11.542	2320.146	3832.314	-1.015	12.534	4171.932	8431.070	-1.001	12.414	3857.633	7720.615	-0.515	10.632	1327.504	1896.995	-0.551	11.390	2217.164	3248.369	-0.566	10.074	885.900	1311.498	-0.574	9.916	791.804	1178.716	-0.444	10.273	1060.846	1443.144	-0.364	9.243	534.113	687.397	0.281	10.022	1146.086	943.252
b1597	asr	0.088	12.093	4504.028	4237.507	-0.259	11.643	2923.539	3498.450	0.629	12.778	8734.443	5647.905	0.116	12.476	5930.755	5472.559	-0.086	10.396	1307.867	1388.200	-0.135	10.873	1789.697	1965.254	0.039	10.423	1391.572	1354.458	0.057	9.611	797.588	766.690	-0.110	11.333	2483.226	2679.968	0.394	10.754	1979.609	1506.516	-0.416	12.253	4225.774	5638.126
b1598	ydgD	-0.313	11.032	1878.675	2333.856	-0.026	11.394	2666.996	2715.496	-0.280	12.425	4990.608	6059.571	-0.371	12.394	4732.871	6120.781	-0.136	10.045	1007.804	1107.430	-0.267	10.987	1850.244	2226.404	-0.146	9.432	656.659	726.591	-0.073	9.583	747.796	786.607	-0.252	10.002	939.663	1119.004	-0.505	9.355	549.700	780.092	-0.091	10.908	1861.823	1983.043
b1599	mdtI	0.700	11.114	2824.931	1738.949	-0.540	11.268	2045.163	2973.611	-0.405	12.151	3952.364	5233.281	-0.376	12.086	3816.409	4952.702	-0.642	10.161	916.506	1430.199	-0.659	11.249	1936.855	3058.270	-0.541	9.865	773.094	1124.837	-0.414	9.680	710.652	946.855	-0.210	9.952	920.963	1065.267	-0.323	9.292	560.473	701.111	-0.009	12.506	5798.645	5834.931
b1600	mdtJ	0.880	11.451	3797.936	2063.675	-0.807	11.774	2647.656	4632.258	-0.670	13.001	6498.991	10340.369	-0.456	12.756	5906.141	8101.650	-0.758	10.945	1515.943	2563.679	-0.317	11.529	2647.656	3298.284	-0.637	10.170	923.841	1436.657	-0.543	10.291	1037.935	1512.270	0.052	10.492	1466.336	1414.425	-0.190	9.563	708.194	807.882	-0.138	12.678	6247.226	6874.314
b1601	tqsA	0.117	11.043	2197.275	2026.115	-0.516	11.521	2457.541	3514.247	-0.120	12.171	4423.584	4807.263	-0.331	12.012	3682.577	4632.258	-0.433	10.231	1034.344	1396.403	-0.508	11.203	1976.867	2811.258	-0.726	9.832	708.685	1172.198	-0.339	9.784	783.886	991.521	-0.133	9.700	794.278	870.983	-0.234	8.910	443.564	521.672	-0.031	10.889	1876.073	1916.821
b1602	pntB	1.309	12.680	10329.623	4169.041	-1.035	12.921	5417.832	11101.754	-1.008	13.798	10043.678	20199.053	-1.198	13.660	8545.801	19605.897	-0.764	10.681	1259.818	2139.414	-0.476	11.736	2892.297	4022.844	-1.473	10.958	1193.928	3314.326	-1.609	10.493	825.143	2517.018	-0.175	10.418	1287.628	1453.686	0.890	9.993	1387.238	748.573	-0.190	11.081	2028.222	2313.722
b1603	pntA	-0.109	12.301	4859.190	5240.541	0.488	12.357	6212.680	4429.721	0.709	13.128	11445.557	7001.751	0.951	12.721	9387.335	4855.823	-0.529	11.041	1754.081	2531.014	0.330	11.684	3688.964	2934.705	-0.186	9.806	839.275	954.764	-0.226	9.797	822.573	962.071	-0.218	9.786	818.592	952.120	-0.340	10.583	1363.406	1725.741	-1.087	10.325	880.086	1869.582
b1604	ydgH	-0.726	10.209	920.325	1522.261	1.086	12.833	10631.076	5007.935	0.930	13.309	14008.356	7352.402	1.429	13.151	14925.586	5543.187	0.320	10.545	1669.268	1337.200	0.431	11.359	3049.802	2262.183	0.745	9.890	1228.345	732.914	0.908	9.755	1183.628	630.783	-0.499	12.531	4978.516	7035.806	-0.543	11.847	3051.917	4446.640	-0.486	10.327	1085.392	1520.152
b1605	ydgI	0.725	10.760	2229.493	1348.837	-0.504	11.718	2828.850	4011.706	-0.960	12.642	4582.757	8914.882	-0.674	12.424	4350.604	6941.347	-0.348	10.078	958.078	1219.437	-0.148	11.274	2352.534	2606.684	-0.470	9.680	696.993	965.411	-0.521	9.642	666.980	957.083	-0.067	9.509	711.885	745.725	-0.127	8.674	390.858	426.825	0.042	11.774	3553.438	3451.481
b1606	folM	0.817	11.693	4394.551	2494.440	-1.020	12.241	3399.248	6893.400	-0.766	12.506	4460.532	7585.350	-0.427	12.522	5072.566	6819.735	-1.359	10.862	1162.085	2980.833	-0.954	11.709	2405.298	4659.631	-0.319	10.303	1131.092	1410.998	-0.218	10.158	1059.377	1232.182	-0.242	10.415	1255.460	1484.746	0.026	9.835	921.602	905.142	0.701	10.576	1946.275	1197.243
