ACCESSION	GSE1730
TITLE	mRNA abundance from wild type

EXP	NAME	STDDEV	SAMPLES	TIMEPOINT	CHANNELS	TEST COL	TEST BKGD	CNTL COL	CNTL BKGD	LOG	NORM	RMA DATA
70	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant	0.929	GSM30231,GSM30232,GSM30233,GSM30234		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
71	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.875	GSM30235,GSM30236,GSM30237,GSM30238		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
72	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant	1.135	GSM30239,GSM30240,GSM30241,GSM30242		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
73	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.969	GSM30243,GSM30244,GSM30245,GSM30246		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
74	mRNA abundance (wt in LB, norfloxacin for 10 min)  / Genomic DNA from dnaC(ts) mutant	0.697	GSM30247,GSM30248,GSM30249,GSM30250		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
75	mRNA abundance (wt in LB, norfloxacin for 10 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.631	GSM30251,GSM30252,GSM30253,GSM30254		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
76	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant	0.904	GSM30255,GSM30256,GSM30257,GSM30258		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
77	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.811	GSM30259,GSM30260,GSM30261,GSM30262		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
78	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB)	0.285	GSM30330,GSM30331,GSM30332,GSM30333		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
79	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB) (dye swap)	0.345	GSM30334,GSM30335,GSM30336,GSM30337		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
80	mRNA abundance (wt, M9) / Genomic DNA from dnaC(ts) mutant	0.300	GSM30338,GSM30339,GSM30340,GSM30341		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	

LABELS
LOCUSTAG	Locus_Tag
GENE	Name
EXP_num_M	Ratio of Test/Control
EXP_num_A	Average=0.5*(Test+Control)
EXP_num_TestInt	Test Intensity
EXP_num_CntlInt	Control Intensity

LOCUSTAG	GENE	EXP_70_M	EXP_70_A	EXP_70_TestInt	EXP_70_CntlInt	EXP_71_M	EXP_71_A	EXP_71_TestInt	EXP_71_CntlInt	EXP_72_M	EXP_72_A	EXP_72_TestInt	EXP_72_CntlInt	EXP_73_M	EXP_73_A	EXP_73_TestInt	EXP_73_CntlInt	EXP_74_M	EXP_74_A	EXP_74_TestInt	EXP_74_CntlInt	EXP_75_M	EXP_75_A	EXP_75_TestInt	EXP_75_CntlInt	EXP_76_M	EXP_76_A	EXP_76_TestInt	EXP_76_CntlInt	EXP_77_M	EXP_77_A	EXP_77_TestInt	EXP_77_CntlInt	EXP_78_M	EXP_78_A	EXP_78_TestInt	EXP_78_CntlInt	EXP_79_M	EXP_79_A	EXP_79_TestInt	EXP_79_CntlInt	EXP_80_M	EXP_80_A	EXP_80_TestInt	EXP_80_CntlInt
b0021	insB	1.515	12.030	7070.027	2473.777	-1.434	12.338	3149.703	8510.334	-1.304	13.133	5716.831	14115.572	-1.219	13.002	5376.680	12516.122	-1.626	11.157	1299.733	4011.706	-0.918	11.697	2415.322	4563.737	-0.804	10.545	1130.700	1974.128	-1.118	10.628	1074.165	2331.431	-0.063	10.980	1976.182	2064.390	-0.227	10.115	1025.065	1199.735	-0.468	12.476	4844.057	6700.254
b0022	insA	1.550	12.071	7362.602	2514.403	-1.426	12.189	2848.526	7654.010	-1.098	13.335	7062.680	15118.213	-1.325	13.186	5887.747	14750.743	-0.846	10.492	1074.165	1930.823	-0.580	11.614	2563.679	3832.314	-0.690	11.014	1628.130	2626.635	-1.926	11.200	1206.824	4585.934	-0.055	10.527	1447.653	1503.907	0.615	9.572	941.946	615.024	-0.062	12.573	5963.733	6225.612
b0023	rpsT	-2.498	11.219	1002.926	5665.549	2.211	11.147	4879.440	1053.884	2.090	12.424	11338.954	2663.301	2.320	12.098	9796.156	1961.851	1.254	10.346	2010.028	842.773	1.237	11.135	3452.678	1464.812	1.653	9.851	1637.751	520.769	1.534	9.593	1314.228	453.827	0.103	11.636	3298.284	3071.015	-0.085	11.204	2290.584	2429.595	-0.119	10.579	1467.861	1594.071
b0024	yaaY																																												
b0025	ribF	-0.577	12.304	4140.244	6176.184	0.237	12.836	7937.671	6735.176	0.700	13.468	14442.171	8890.199	0.768	13.146	11828.668	6946.160	0.037	10.269	1249.816	1218.170	-0.035	11.662	3201.428	3280.045	-0.112	9.936	942.272	1018.337	0.017	9.976	1013.057	1001.190	-0.056	11.959	3904.711	4059.257	0.088	11.046	2179.830	2050.841	0.001	12.373	5306.335	5302.658
b0026	ileS	-1.480	11.940	2352.534	6562.364	1.376	12.383	8605.242	3315.475	1.592	13.202	16361.303	5427.229	1.657	13.159	16242.657	5150.512	0.437	10.645	1863.114	1376.224	0.379	11.199	2680.897	2061.530	0.580	9.704	1019.750	682.176	0.476	9.577	900.761	647.618	0.370	12.045	4803.932	3717.198	0.406	10.846	2118.753	1599.051	-0.320	10.197	1050.602	1311.498
b0027	lspA	-1.041	11.124	1555.864	3201.428	0.638	11.069	2679.968	1722.156	1.142	12.794	10550.326	4780.680	0.939	12.515	8104.458	4227.239	-0.129	10.475	1361.046	1488.352	-0.046	11.512	2874.310	2967.434	0.301	9.450	776.316	630.128	0.072	9.370	678.404	645.378	0.276	10.605	1713.820	1415.406	0.303	9.738	948.497	768.819	0.102	8.800	461.760	430.241
b0028	fkpB																																												
b0029	ispH	-1.352	11.237	1510.698	3856.296	1.472	11.654	5367.371	1934.842	1.185	12.927	11742.891	5164.812	1.284	12.642	9974.301	4096.000	0.099	8.778	454.300	424.170	0.161	10.624	1668.690	1492.484	0.125	9.236	629.691	577.429	0.076	9.210	608.031	576.829	0.393	10.669	1865.698	1420.812	0.291	9.672	902.323	737.500	0.124	11.480	2981.867	2736.280
b0030	rihC	-0.205	11.482	2664.225	3071.015	0.433	12.084	5044.516	3736.573	0.063	13.155	9322.492	8924.156	0.513	12.866	8917.972	6249.391	0.209	10.122	1198.073	1036.497	0.137	11.081	2271.611	2065.822	-0.355	9.086	480.536	614.598	-0.296	9.282	561.834	689.784	-0.268	11.096	1994.761	2401.966	0.108	10.531	1536.040	1425.251	0.203	10.084	1164.504	1011.654
